feature,class,mean,std,fisher_score,auc_ovr,n,baseline_mean,baseline_std,sim_normal_mean,sim_normal_std
X1,正常,9.932966764634147,0.019762773959459943,0.0010726628995370003,0.49663333333333326,100,-9.94680887957317,0.045197849403223765,9.932966764634147,0.019762773959459943
X1,幅度失准,9.942810935365854,0.09996737036729376,0.010544386920338813,0.5499833333333333,100,-9.94680887957317,0.045197849403223765,9.932966764634147,0.019762773959459943
X1,频率失准,9.93306982682927,2.0062307613866653e-05,0.001000944900170133,0.5087833333333334,100,-9.94680887957317,0.045197849403223765,9.932966764634147,0.019762773959459943
X1,参考电平失准,9.929828728048783,0.05613933849272481,0.0062781870851134096,0.4446,100,-9.94680887957317,0.045197849403223765,9.932966764634147,0.019762773959459943
X10,正常,0.014780930821007938,0.00230082463753569,0.4365109680903222,0.23333333333333334,100,0.01670801936562413,0.006367831510332792,0.014780930821007938,0.00230082463753569
X10,幅度失准,0.031258203300813726,0.024081946509921463,0.07379759915812173,0.5455666666666666,100,0.01670801936562413,0.006367831510332792,0.014780930821007938,0.00230082463753569
X10,频率失准,0.014682197172234393,0.0010061305563329101,0.4400608391565889,0.2574000000000001,100,0.01670801936562413,0.006367831510332792,0.014780930821007938,0.00230082463753569
X10,参考电平失准,0.11801395413757573,0.06456612110095089,2.160425011837833,0.9637,100,0.01670801936562413,0.006367831510332792,0.014780930821007938,0.00230082463753569
X11,正常,0.0,0.0,0.34935898759227507,0.23333333333333334,100,0.0011432926829268292,0.007730552517245564,0.0,0.0
X11,幅度失准,0.032365853658536586,0.07133227374625617,0.16302397829695042,0.4940333333333333,100,0.0011432926829268292,0.007730552517245564,0.0,0.0
X11,频率失准,0.0021707317073170734,0.004456078203597134,0.334939137754633,0.3429333333333333,100,0.0011432926829268292,0.007730552517245564,0.0,0.0
X11,参考电平失准,0.41919512195121944,0.2883885472655462,1.9533144646738096,0.9297,100,0.0011432926829268292,0.007730552517245564,0.0,0.0
X12,正常,0.0,0.0,0.39343246780262275,0.23333333333333334,100,0.0019314217119944799,0.007677802418961262,0.0,0.0
X12,幅度失准,0.013496770862571896,0.01820709205076857,0.15871443969602744,0.47686666666666666,100,0.0019314217119944799,0.007677802418961262,0.0,0.0
X12,频率失准,0.008302274594958607,0.018524625526336873,0.23098702741413113,0.36393333333333333,100,0.0019314217119944799,0.007677802418961262,0.0,0.0
X12,参考电平失准,0.13787036059947966,0.10081680339756346,1.6370167807453968,0.9258666666666666,100,0.0019314217119944799,0.007677802418961262,0.0,0.0
