freq_injected_hz,peak_freq_meas_hz,peak_amp_dbm
10000000.0,10002337.117002092,-10.0079
20000000.0,19995732.40623504,-10.0280
30000000.0,30003846.401659723,-10.0320
40000000.0,40001048.01240705,-10.0208
50000000.0,49999933.2938879,-10.0646
60000000.0,59995152.306924246,-10.0668
70000000.0,69995540.86893876,-10.0569
80000000.0,80004199.40679294,-10.0778
90000000.0,90001461.01398906,-10.0870
100000000.0,99995961.77688438,-10.0842
110000000.0,109991790.489354,-10.0754
120000000.0,119998874.65021154,-10.0750
130000000.0,129999464.28401943,-10.0656
140000000.0,140002323.8681273,-10.0671
150000000.0,149999452.24752697,-10.0711
160000000.0,160004666.18204033,-10.0429
170000000.0,170012868.3477962,-10.0518
180000000.0,179991732.43339494,-10.0776
190000000.0,190002325.68134302,-10.0788
200000000.0,199994578.70372877,-10.0771
210000000.0,210005258.78997904,-10.0962
220000000.0,219998770.9708867,-10.0672
230000000.0,230012430.69471943,-10.0481
240000000.0,239995246.75925663,-10.0531
250000000.0,250003174.3245663,-10.0699
260000000.0,259999491.61663112,-10.0686
270000000.0,270005109.42992777,-10.0735
280000000.0,280003405.1532568,-10.0767
290000000.0,289999864.01285374,-10.0746
300000000.0,300003129.1739916,-10.0705
310000000.0,310008903.18674546,-10.0667
320000000.0,320015401.9266109,-10.0708
330000000.0,329996854.15916955,-10.0565
340000000.0,339993667.91110027,-10.0568
350000000.0,350006732.8938095,-10.0772
360000000.0,359998871.5918609,-10.0576
370000000.0,370001635.1403191,-10.0674
380000000.0,379999219.24617887,-10.0772
390000000.0,390003910.36088026,-10.0772
400000000.0,399994223.39841986,-10.0592
410000000.0,409995388.50573504,-10.0396
420000000.0,419995875.34715086,-10.0561
430000000.0,430005163.83759165,-10.0672
440000000.0,440000494.7560214,-10.0591
450000000.0,449993928.1625594,-10.0708
460000000.0,459992030.7091177,-10.0620
470000000.0,470001784.0819083,-10.0557
480000000.0,480002228.0907166,-10.0386
490000000.0,489998885.09695613,-10.0535
500000000.0,499998649.82065976,-10.0692
510000000.0,510002535.81398296,-10.0333
520000000.0,520000841.3268562,-10.0365
530000000.0,529997953.9889238,-10.0761
540000000.0,540004915.3101747,-10.0713
550000000.0,550004501.8967186,-10.0526
560000000.0,559991686.9512753,-10.0559
570000000.0,569999603.2845522,-10.0539
580000000.0,579999996.5055526,-10.0490
590000000.0,590003351.9812738,-10.0358
600000000.0,600002007.1405408,-10.0523
610000000.0,609991757.4281627,-10.0572
620000000.0,620001365.1035644,-10.0575
630000000.0,630005492.3816404,-10.0580
640000000.0,640001311.6548415,-10.0706
650000000.0,650000666.8837966,-10.0589
660000000.0,660001417.1513956,-10.0671
670000000.0,670007881.8189276,-10.0580
680000000.0,680000515.3535903,-10.0598
690000000.0,690007974.20233,-10.0532
700000000.0,700009371.4356339,-10.0497
710000000.0,710002847.4420583,-10.0575
720000000.0,719999824.8548185,-10.0552
730000000.0,730006897.8196894,-10.0531
740000000.0,740002379.4328405,-10.0666
750000000.0,749992863.6524986,-10.0439
760000000.0,759997180.4651802,-10.0310
770000000.0,769997896.6919024,-10.0452
780000000.0,779998126.6405903,-10.0769
790000000.0,789998708.9851506,-10.0682
800000000.0,799999884.0128008,-10.0447
810000000.0,809991015.8720335,-10.0674
820000000.0,820001342.6390079,-10.0484
830000000.0,829992486.2828639,-10.0393
840000000.0,839996838.9200569,-10.0458
850000000.0,849995514.0923389,-10.0384
860000000.0,859993543.5348696,-10.0455
870000000.0,869992656.0334035,-10.0312
880000000.0,880002944.4411077,-10.0393
890000000.0,890007478.6741087,-10.0389
900000000.0,900005864.2034113,-10.0355
910000000.0,910008106.5797969,-10.0000
920000000.0,920000004.0979265,-10.0396
930000000.0,930010366.2793396,-10.0607
940000000.0,939999701.0344253,-10.0293
950000000.0,950004880.656017,-10.0282
960000000.0,959996824.463789,-10.0773
970000000.0,970001926.1644213,-10.0560
980000000.0,979999747.9119997,-10.0162
990000000.0,990007270.3818234,-10.0086
1000000000.0,999995706.4781247,-10.0370
1010000000.0,1010003104.1965921,-10.0276
1020000000.0,1020003575.8039018,-10.0378
1030000000.0,1030006492.1656601,-10.0295
1040000000.0,1040007522.6203558,-10.0376
1050000000.0,1050004862.0434494,-10.0348
