X11,X12,X13,band_offset_db_1,band_offset_db_2,band_offset_db_3,band_offset_db_4,bias,comp,compress_ratio,compress_ratio_high,df,env_overrun_max,env_overrun_mean,env_overrun_rate,file,flag_bias,flag_comp,flag_df,flag_gain,flag_nonswitch_step_max,flag_nonswitch_step_ratio,flag_res_slope,flag_ripple_var,flag_step_score,flag_switch_step_err_max,flag_switch_step_err_ratio,flag_viol_rate,freq_shift_score,gain,global_offset_db,high_low_energy_ratio,mod_[RF板][Mixer1],mod_[RF板][Mixer2],mod_[RF板][RF] 低频通路固定滤波/抑制网络,mod_[RF板][RF] 步进衰减器/ATT,mod_[RF板][RF] 输入连接/匹配/保护,mod_[RF板][YTF],mod_[数字中频板][ADC],mod_[数字中频板][RBW],mod_[数字中频板][VBW],mod_[数字中频板][检波/对数],mod_[时钟板][参考分配],mod_[时钟板][参考域] 10MHz基准,mod_[校准链路][校准源],mod_[校准链路][校准表/存储],mod_[校准链路][校准路径开关/耦合],mod_中频放大器,mod_前置放大器,mod_数字放大器,mod_本振源(谐波发生器),nonswitch_step_max,nonswitch_step_ratio,offset_db,offset_slope,res_slope,ripple_hp,ripple_var,shape_rmse,step_score,switch_step_err_max,switch_step_err_ratio,sys_is_normal,sys_max_prob,sys_overall_score,sys_probabilities,sys_uncertainty,tail_asym,viol_energy_aligned,viol_rate,viol_rate_aligned
0.0,0.0,0.0,-0.01294812509592802,0.0008049113909649463,0.006399959570438263,-0.015898232424209624,1.908535472496796,-1.257654554608493,0.2,0.2,0.0,0.0,0.0,0.0,/home/runner/work/FMFD-python/FMFD-python/Output/sim_spectrum/raw_curves/sim_00284.csv,alarm,alarm,ok,alarm,ok,ok,ok,ok,ok,ok,ok,ok,0.06018933107883562,1.1922471986184335,0.0,3.636739671178051,0.007761623977490967,0.0,0.007634384240155049,0.0,0.4241255673195456,0.0,0.06644763950128905,0.06133628261657451,0.05111356884714542,0.07155899638600359,0.006234747129459956,0.006234747129459956,0.025476663963987862,0.019107497972990894,0.050953327927975724,0.10733849457900538,0.0,0.09200442392486177,0.002672034484054267,0.05361269465095653,0.0,-0.044000057189663266,-0.003124580398909293,-3.124580398909292e-12,0.0034351497200738952,0.0001502161000091118,0.016914413450015698,0.0,0.0,0.0,False,0.3615455382955161,0.09916766686104979,"{'正常': 0.33888222093074827, '幅度失准': 0.3615455382955161, '频率失准': 0.01800029243321503, '参考电平失准': 0.2815719483405206}",0.6384544617044838,-0.03630902046688957,0.0,0.0,0.0
0.0,0.0,0.0,-0.03068386647448129,7.193271045480287e-07,-3.7329984037270947e-06,-4.800597963594555e-08,-0.954961120162314,0.00506515363659904,0.2,0.2,0.0,0.0,0.0,0.0,/home/runner/work/FMFD-python/FMFD-python/Output/sim_spectrum/raw_curves/sim_00062.csv,alarm,ok,ok,alarm,ok,ok,ok,ok,ok,ok,ok,ok,0.39201339120591894,0.903911990141147,0.0,0.9762881371068562,0.007756382085331968,0.0,0.007629228280654394,0.0,0.42451449000917735,0.0,0.06640276340815496,0.06129485853060457,0.051079048775503816,0.07151066828570533,0.006230536429201089,0.006230536429201089,0.025459458038339104,0.01909459352875433,0.05091891607667821,0.10726600242855798,0.0,0.09194228779590685,0.002670229898229038,0.031317164011593235,0.0,0.00039999999999906777,-0.0001933128717655822,-1.933128717655818e-13,0.01012147388135304,0.0014021593040218746,0.03751289891735948,0.0,0.0,0.0,False,0.36097035538927935,0.09900990098984372,"{'正常': 0.3399339934054484, '幅度失准': 0.36097035538927935, '频率失准': 0.017971655762538195, '参考电平失准': 0.2811239954427341}",0.6390296446107206,-9.920565062726538e-05,0.0,0.0,0.0
0.0,0.0,0.0,-0.007152838527368921,0.0036237834612649067,-0.01399310656424646,0.006398896762592088,-1.9604100945002143,-0.2764322014461911,0.2,0.2,0.0,0.0,0.0,0.0,/home/runner/work/FMFD-python/FMFD-python/Output/sim_spectrum/raw_curves/sim_00330.csv,alarm,alarm,ok,alarm,ok,ok,ok,ok,ok,ok,ok,ok,0.17392451438405998,0.8028107313177891,0.0,1.7714469388884946,0.007756382085331967,0.0,0.007629228280654394,0.0,0.42451449000917735,0.0,0.06640276340815494,0.06129485853060457,0.05107904877550381,0.07151066828570532,0.006230536429201088,0.006230536429201088,0.025459458038339104,0.019094593528754325,0.05091891607667821,0.10726600242855798,0.0,0.09194228779590684,0.0026702298982290377,0.029017564533640794,0.0,-0.021401806308034566,0.0009464275941107177,9.464275941107166e-13,0.005810273090340729,0.0002742149760377254,0.018161313421339503,0.0,0.0,0.0,False,0.36097035538927935,0.09900990098984372,"{'正常': 0.3399339934054484, '幅度失准': 0.36097035538927935, '频率失准': 0.017971655762538195, '参考电平失准': 0.2811239954427341}",0.6390296446107206,-0.008512210881327142,0.0,0.0,0.0
0.0,0.0,0.0,0.00024507970724574335,0.00010048387840555506,-0.001145179183578371,-0.0009807730888518051,-0.09965831336779096,-0.012737428361026149,0.2,0.2,0.0,0.0,0.0,0.0,/home/runner/work/FMFD-python/FMFD-python/Output/sim_spectrum/raw_curves/sim_00203.csv,ok,ok,ok,alarm,ok,ok,ok,ok,ok,ok,ok,ok,0.06134426370235724,0.9901076521236218,0.0,138.81700178348618,0.005640399442038662,0.0,0.005547933877415077,0.0,0.8921068952268122,0.0,0.0024041046802132,0.0022191735509660307,0.0018493112924716924,0.0025890358094603693,0.004530812666555645,0.004530812666555645,0.01851398130394043,0.013885485977955324,0.03702796260788086,0.003883553714190553,0.0,0.0033287603264490454,0.0019417768570952766,0.03950711034950061,0.0,0.08260035576269775,-0.0013572011656716157,-1.3572011656716156e-12,0.004477181558483141,0.00013636824919887897,0.013131623950589179,0.0,0.0,0.0,True,0.890282032746574,0.016457695088124443,"{'正常': 0.890282032746574, '幅度失准': 0.0062189115531996325, '频率失准': 0.0062189115531996325, '参考电平失准': 0.09728014414702675}",0.10971796725342597,-0.029199727227348142,0.0,0.0,0.0
0.0,0.0,0.0,-0.000958422858979624,-0.003018289566124821,0.011384077941286819,-0.0069235523266808485,2.013976867876057,-0.32990405153912405,0.2,0.2,0.0,0.0,0.0,0.0,/home/runner/work/FMFD-python/FMFD-python/Output/sim_spectrum/raw_curves/sim_00302.csv,alarm,alarm,ok,alarm,ok,ok,ok,ok,ok,ok,ok,ok,0.08443141312458435,1.2027348947498717,-8.881784197001252e-16,1.883218143212158,0.007756382085331967,0.0,0.007629228280654394,0.0,0.42451449000917735,0.0,0.06640276340815494,0.06129485853060457,0.05107904877550381,0.07151066828570532,0.006230536429201088,0.006230536429201088,0.025459458038339104,0.019094593528754325,0.05091891607667821,0.10726600242855798,0.0,0.09194228779590684,0.0026702298982290377,0.05955282745160595,0.0,-0.004982535731866911,4.169535858292531e-05,4.1695358582925545e-14,0.006987815790241393,0.000273610020625342,0.01848235030609476,0.0,0.0,0.0,False,0.36097035538927935,0.09900990098984372,"{'正常': 0.3399339934054484, '幅度失准': 0.36097035538927935, '频率失准': 0.017971655762538195, '参考电平失准': 0.2811239954427341}",0.6390296446107206,0.010000075938375708,0.0,0.0,0.0
0.0,0.0,0.0,0.001450044442236731,0.0043991404004497525,-0.005399916587838227,9.992496125477146e-05,-0.8270889711235736,0.18054228806463968,0.2,0.2,0.0,0.0,0.0,0.0,/home/runner/work/FMFD-python/FMFD-python/Output/sim_spectrum/raw_curves/sim_00289.csv,alarm,alarm,ok,alarm,ok,ok,ok,ok,ok,ok,ok,ok,0.18910610352540824,0.9167353653647691,0.0,202.2811240449213,0.007756934658976334,0.0,0.007629771795714426,0.0,0.42447349175483196,0.0,0.06640749401793779,0.061299225247327185,0.05108268770610599,0.07151576278854839,0.006230980299833447,0.006230980299833447,0.02546127179962072,0.019095953849715543,0.05092254359924144,0.10727364418282256,0.0,0.09194883787099077,0.002670420128500049,0.03315874258920104,0.0,-0.06329999999999991,-0.0012237789001630643,-1.2237789001630647e-12,0.004215005234207284,0.00037961090000005805,0.022377933128801163,0.0,0.0,0.0,False,0.3610309385511198,0.09902651823490533,"{'正常': 0.33982321177170516, '幅度失准': 0.3610309385511198, '频率失准': 0.017974672020558687, '参考电平失准': 0.28117117765661637}",0.6389690614488802,-0.03280642249140345,0.0,0.0,0.0
0.0,0.0,0.0,-0.013237120467876728,-0.0007032848557724236,0.001647791788313313,0.00019607995327497463,0.25672825141670125,-0.5565963632428534,0.2,0.2,0.0,0.0,0.0,0.0,/home/runner/work/FMFD-python/FMFD-python/Output/sim_spectrum/raw_curves/sim_00094.csv,ok,alarm,ok,alarm,ok,ok,ok,ok,ok,ok,ok,ok,0.04554638075453099,1.0258513130580271,-8.881784197001252e-16,0.5373041335457206,0.01153627352064668,0.0,0.01134715428260329,0.0,0.6990444819897811,0.0,0.016777004485552367,0.015486465678971417,0.012905388065809516,0.01806754329213332,0.00926684266412602,0.00926684266412602,0.03786652957351521,0.028399897180136406,0.07573305914703042,0.027101314938199974,0.0,0.02322969851845712,0.003971503998911152,0.0378071464054095,0.0,0.00010410755688372575,0.00014732150940369225,1.4732150940369253e-13,0.0008913973149214716,9.620612689533625e-05,0.009829741703654341,0.0,0.0,0.0,True,0.6744661009151474,0.048830084863055054,"{'正常': 0.6744661009151474, '幅度失准': 0.05538440713704757, '频率失准': 0.016232378017353652, '参考电平失准': 0.25391711393045135}",0.32553389908485264,-0.0005084217877418459,0.0,0.0,0.0
0.0,0.0,0.0,0.0031798065178643142,-0.001206848502596003,-0.0025008650055982073,0.0012915817014835795,-0.09967281178112479,1.3297684239942669,0.2,0.2,0.0,0.0,0.0,0.0,/home/runner/work/FMFD-python/FMFD-python/Output/sim_spectrum/raw_curves/sim_00183.csv,ok,alarm,ok,alarm,ok,ok,ok,ok,ok,ok,ok,ok,0.08239714222329586,0.9900388195281228,0.0,2.4657119436963684,0.005649748703474438,0.0,0.0055571298722699395,0.0,0.8919280566792931,0.0,0.002408089611316973,0.002222851948907976,0.0018523766240899802,0.0025933272737259723,0.00453832272902045,0.00453832272902045,0.018544669210569447,0.013908501907927084,0.037089338421138894,0.003889990910588957,0.0,0.0033342779233619625,0.0019449954552944785,0.03703023272412409,0.0,0.00321451398305328,0.0017288040359872716,1.728804035987271e-12,0.004321095710754948,0.00011274515015006268,0.013551639274596823,0.0,0.0,0.0,True,0.8900781336175224,0.016488279957482394,"{'正常': 0.8900781336175224, '幅度失准': 0.006230468736413002, '频率失准': 0.006230468736413002, '参考电平失准': 0.0974609289096516}",0.10992186638247758,-0.006728361911477698,0.0,0.0,0.0
0.0,0.0,0.0,0.0026876361778311875,8.142503542529766e-07,-0.010947161854866216,0.002093626191911113,-0.27170884987656224,0.3109628157981206,0.2,0.2,0.0,0.0,0.0,0.0,/home/runner/work/FMFD-python/FMFD-python/Output/sim_spectrum/raw_curves/sim_00276.csv,ok,alarm,ok,alarm,ok,ok,ok,ok,ok,ok,ok,ok,0.10023619119628624,0.9727144449050849,0.0,10.976712214061825,0.011227143987822017,0.0,0.01104309244703805,0.0,0.6732103586424432,0.0,0.02133519338950774,0.01969402466723792,0.016411687222698267,0.022976362111777573,0.009018525498414405,0.009018525498414405,0.036851846402575994,0.027638884801931995,0.07370369280515199,0.034464543167666346,0.0,0.029541037000856873,0.003865082356463317,0.024577971826753142,0.0,-0.05760000928853515,7.454890943685114e-05,7.454890943685055e-14,0.004228251282463661,0.00017482531129167604,0.014793446756265061,0.0,0.0,0.0,True,0.6538657179947369,0.051920142301137215,"{'正常': 0.6538657179947369, '幅度失准': 0.07313473572714976, '频率失准': 0.016403628234875806, '参考电平失准': 0.2565959180432376}",0.3461342820052631,-0.0219300254190963,0.0,0.0,0.0
0.03902439024390244,0.007061102512453843,0.11827657882214204,0.03436530193079257,0.020544605184376508,-0.0013128572413227957,-0.052449368915231886,4.387922959223045,-5.168727288747505,0.2,0.2,0.0,0.007061102512453843,0.00014423973027090492,0.03902439024390244,/home/runner/work/FMFD-python/FMFD-python/Output/sim_spectrum/raw_curves/sim_00048.csv,alarm,alarm,ok,alarm,ok,ok,ok,ok,ok,ok,ok,ok,0.23569383605331629,1.4423593619230282,0.0,4.433450518255778,0.007985712982283573,0.0,0.007854799654705154,0.0,0.40749926219588695,0.0,0.06836607634515625,0.06310714739552886,0.05258928949627405,0.07362500529478366,0.006414753051342541,0.006414753051342541,0.026212211098154903,0.01965915832361617,0.05242442219630981,0.11043750794217548,0.0,0.09466072109329327,0.0027491798791468036,0.09836948727886607,0.0,0.013855394815625033,-0.016690169479747767,-1.6690169479747763e-11,0.00018842194629041978,0.00021109422796889408,0.04570280596700685,0.0,0.0,0.0,False,0.38716111444879703,0.10619371656532259,"{'正常': 0.2920418895692415, '幅度失准': 0.38716111444879703, '频率失准': 0.01927561687444065, '参考电平失准': 0.3015213791075209}",0.612838885551203,-0.08331909116389352,0.11827657882214204,0.03902439024390244,0.03902439024390244
